entity_id,question_label,response_text,theme_label,feedback_id
1469278379854781789,Comment by enumerator,tr?ng tái canh m?i nên s?n l??ng 3ha cho thu 4 t?n nhân,validation,83
1469278379854781780,Comment by enumerator,?V xác nh?n thu 50 t?n cà phê t??i trong n?m v?a r?i,validation,84
1469278379854783104,Comment by enumerator,tr?n 266kg l?u Hu?nh /1hec ngày 1/3/2023,validation,137
1469278379854638847,Comment by enumerator,không,validation,178
1469278379854638345,Comment by enumerator,không,validation,219
1469278379854638306,Comment by enumerator,không,validation,220
1469278379854638332,Comment by enumerator,không,validation,226
1469278379854639859,Comment by enumerator,khong,validation,249
1469278379854639942,Comment by enumerator,không,validation,252
1469278379854639942,Comment by enumerator,không,validation,253
1469278379854640951,Comment by enumerator,không,validation,278
1469278379854640971,Comment by enumerator,không,validation,283
1469278379854640900,Comment by enumerator,không,validation,295
1469883818362505115,Comment by enumerator,"h jia ??ng tên , ba là y huê làm",validation,338
1469278379855038499,Comment by enumerator,?áp viên là con gái làm chính và s?ng chung trong nhà,validation,343
1469278379855037177,Comment by enumerator,"ch? ?ào th? thu ??ng tên trên gi?y t? , em gái là ?ào thi nhàn làm và thu s?n l??ng",validation,346
1469278379855037201,Comment by enumerator,tr?n danh tú là anh ( ?ã ?i tù ) ?? ?? l?i r?y cho v? ch?ng ng??i em làm,validation,349
1469278379855040352,Comment by enumerator,tiên,validation,357
1469278379855040352,Comment by enumerator,tiên,validation,358
1469278379855040352,Comment by enumerator,tiên,validation,359
1469278379855040432,Comment by enumerator,tiên,validation,361
1469278379855040242,Comment by enumerator,bài này Qu?nh làm,validation,363
1469278379855037409,Comment by enumerator,bài này trùng v?i bài test c?a l??ng mai giang . có cái ch?nh s?a ???c ?? tên mai giang . có cái ph?i ?? 2023 m?i ??ng b? ???c  bài,validation,373
1469278379855037024,Comment by enumerator,không,validation,381
1469278379855036851,Comment by enumerator,ng??i dân t?c ít hi?u ti?ng kinh nên có nhóm tr??ng d?ch thêm,validation,383
1469278379854639342,Status by validator,reviewed,validation,485
1469278379854638502,Status by validator,reviewed,validation,486
