entity_id,country,region,sub_region,unit,latitude,longitude,altitude,address_1,address_2
1470157558564695309,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6706197,107.9773481,0.0,"thu00f4n 6, tu00e2n lu00e2m , di linh",-
1470157558564695295,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6876781616657,107.97510462042028,0.0,Tu00e2n lu00e2m di linh lu00e2m u0111u1ed3ng,
1470157558564694946,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.66749954,108.0019989,0.0,thu00f4n 4 tu00e2n thu01b0u1ee3ng,-
1470157558564695057,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6840511,107.973337,0.0,"thu00f4n 4, tu00e2n lu00e2m",
1470157558564694699,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.70945712366301,107.998989410799,0.0,Village 5,-
1470157558564694968,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.66056327229856,108.00231757720404,0.0,Tu00e2n thu01b0u1ee3ng di linh lu00e2m u0111u1ed3ng,-
1470157558564694704,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.65503233672274,107.95004605325678,0.0,Village 9,
1470157558564695065,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6618952,108.0051727,0.0,"thu00f4n 4, tu00e2n thu01b0u1ee3ng, di linh",-
1470157558564694989,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.67119979,108.012001,0.0,thu00f4n 2 tu00e2n lu00e2m di linh,
1470157558564695215,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.67850279092412,108.00309792381309,0.0,Tu00e2n lu00e2m di linh lu00e2m u0111u1ed3ng,-
1470157558564694714,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.64155905601721,107.94360305192689,0.0,Village 9,
1470157558564694722,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.63509346545801,107.93956758464496,0.0,Village 9,-
1470157558564694903,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.630799,107.9661404,0.0,"thu00f4n 8, tu00e2n lu00e2m, di linh",-
1470157558564694972,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.66459234187817,107.99135101594636,0.0,Village 4,-
1470157558564694797,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.64032398258489,107.96612547720592,0.0,Village 8,
1470157558564695074,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6619104,107.9955861,0.0,thu00f4n 3_tu00e2n lu00e2m_di linh,-
1470157558564694799,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.63904976566475,107.96527907262366,0.0,Village 8,-
1470157558564695163,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6345568,108.1795138,0.0,"phu00fa hiu1ec7p 3, gia hiu1ec7p, di linh",-
1470157558564695952,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.53396970127852,108.072872785952,0.0,Hang Hai Village,-
1470157558564695873,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.49247707361826,108.03853983888156,0.0,Hang Hai Village,-
1470157558564695063,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.56091731042746,108.04777300926676,0.0,Village 4,-
1470157558564695879,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.53054325227233,108.06358805125166,0.0,Hang Hai Village,-
1470157558564696002,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.57150407322829,108.04650013345112,0.0,Group 1,
1470157558564695991,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.57235131600087,108.04681210788716,0.0,Group 1,-
1470157558564695965,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.54675485442846,108.06787065090332,0.0,Lang Cu Village,-
1470157558564695118,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6325221,108.1671479,0.0,"thu00f4n gia lu00e0nh ,xu00e3 gia hiu1ec7p,di linh",
1470157558564694820,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.73590982333919,107.99648531722649,0.0,Village 3,
1470157558564695191,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6024245,108.1867751,0.0,"thu00f4n 7, gia hiu1ec7p, di linh",-
1470157558564695739,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.62924534663098,108.11626408002896,0.0,Tan Lac 1 Village,
1470157558564695307,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.71065317933607,107.98235837380211,0.0,Village 2,-
1470157558564695573,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.66198370048,108.08380605662994,0.0,Gia Bac 2  Village,-
1470157558564695554,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.66498186533494,108.08306694040829,0.0,Gia Bac 2  Village,-
1470157558564695390,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.66520023,108.0839996,0.0,Gia Bac 2  Village,-
1470157558564695569,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6742828,108.0763788,0.0,"Gia Bac 2, tu00e2n nghu0129a, di linh",-
1470157558564695558,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.682299,108.072538,0.0,Gia Bac 2  Village,tu00e2n thu01b0u1ee3ng  - di linh
1470157558564695628,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6692714,108.0896421,0.0,"Gia Bu1eafc 2, tu00e2n nghu0129a, di linh",-
1470157558564695562,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6692949,108.0781165,0.0,Gia Bac 2  tu00e2n nghu0129a.di linh,gia bu1eafc 2_tu00e2n nghu0129a _di linh
1470157558564695658,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.64952722844821,108.08076317432158,0.0,Loc Chau 4  Village,-
1470157558564695386,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.63415167843116,108.09471697366396,0.0,Tan Nghia  Village,-
1470157558564695504,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.64078896866333,108.1054542494082,0.0,Loc Chau 1  Village,-
1470157558564695096,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.6403106,108.1585475,0.0,"thu00f4n 5, gia hiu1ec7p, di linh",-
1470157558564695337,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.643811,108.085142,0.0,Loc Chau 4  Village,-
1470157558564695889,Vietnam,,,,,,0.0,,
1470157558564695757,Vietnam,Lâm ??ng,Di Linh,Sucafina,11.65480041,108.1279983,0.0,Tan Lac 3 Village,-
1469278379854639222,Vietnam,,,,,,,,
1469278379854639342,Vietnam,Lâm ??ng,Di Linh,Nestlé Vietnam - Receiving Station Lam Dong,11.64535,108.021538,875.0,"Thôn 1, Tân Th??ng, Di Linh",Thôn 1
1469278379854638502,Vietnam,Lâm ??ng,Di Linh,Nestlé Vietnam - Receiving Station Lam Dong,11.630758,108.1035,935.0,"L?c Châu 1, Tân Ngh?a, Di Linh",L?c Châu 1
1469278379854638316,Vietnam,Lâm ??ng,Di Linh,Nestlé Vietnam - Receiving Station Lam Dong,11.6230554,108.0702524,971.0,"T? 17, TT Di Linh",T? 17
1469883818362504539,Vietnam,Lâm ??ng,Di Linh,Nestlé Vietnam - Receiving Station Lam Dong,11.567838,108.027596,1007.0,"T? 2, TT Di Linh, Di Linh",
1469278379855013128,Vietnam,Gia Lai,Ia Grai,Nestlé Vietnam - Receiving Station Gia Lai,14.07268,107.870918,627.0,"Thôn Thái Hà, Ia Yok, Ia Grai",
1469278379855012334,Vietnam,Gia Lai,Ia Grai,Nestlé Vietnam - Receiving Station Gia Lai,14.03129532477829,107.90774472107172,644.0,"Thôn 4, Ia Hrung, Ia Grai",
1469278379855013186,Vietnam,Gia Lai,Ia Grai,Nestlé Vietnam - Receiving Station Gia Lai,14.09103166313291,107.88090105178568,658.0,"Thôn H?ng Bình Tân H?p, Ia Yok, Ia Grai",
1469883818362504743,Vietnam,??k Nông,Dak Rlap,Nestlé Vietnam - Receiving Station Dak Nong,11.95304354993917,107.61709897145532,640.0,Thôn 6,
1469278379854782274,Vietnam,??k Nông,Dak Rlap,Nestlé Vietnam - Receiving Station Dak Nong,11.94713365753362,107.61494058194349,637.0,Thôn 17,Nhân C?
1469278379855014872,Vietnam,Gia Lai,Chu Se,Nestlé Vietnam - Receiving Station Gia Lai,13.76071028878331,108.0253748037927,636.0,"Thôn Nông Tr??ng, Ia Glai, Ch? Sê",
1469278379855004447,Vietnam,Gia Lai,Chu Prong,Nestlé Vietnam - Receiving Station Gia Lai,13.82091100093685,107.89192227504422,569.0,"Thôn 3, th?ng h?ng, ch? prong",
1469278379854781944,Vietnam,??k Nông,Dak Rlap,Nestlé Vietnam - Receiving Station Dak Nong,11.976571,107.597946,671.0,Thôn 9,Nhân C?
1469278379854781789,Vietnam,??k Nông,Dak Rlap,Nestlé Vietnam - Receiving Station Dak Nong,11.89562426415448,107.5419846643764,593.0,Thôn Qu?ng Thu?n,Ngh?a Th?ng
1469278379854781780,Vietnam,??k Nông,Dak Rlap,Nestlé Vietnam - Receiving Station Dak Nong,11.903273,107.527679,617.0,Thôn Qu?ng Thu?n,Ngh?a Th?ng
1469278379855014611,Vietnam,Gia Lai,Pleiku,Nestlé Vietnam - Receiving Station Gia Lai,14.02057749220545,108.0559596140944,716.0,"Thôn4 , xã Trà ?a, TP.Pleiku",
1469278379855014782,Vietnam,Gia Lai,Dak Doa,Nestlé Vietnam - Receiving Station Gia Lai,13.89303036501062,108.07179244245222,790.0,"Thôn 10, Ia P?t, ??k ?oa",
1469278379855013420,Vietnam,Gia Lai,Chu Pah,Nestlé Vietnam - Receiving Station Gia Lai,14.0922843385619,107.9854152538888,729.0,"Thôn 8, Ngh?a H?ng, Ch? P?h",
1469278379855013426,Vietnam,Gia Lai,Chu Pah,Nestlé Vietnam - Receiving Station Gia Lai,14.08861775883791,107.97662272128088,728.0,"Thôn 9, Ngh?a H?ng, Ch? P?h",
1469278379855008977,Vietnam,Gia Lai,Chu Prong,Nestlé Vietnam - Receiving Station Gia Lai,13.74658032787381,107.8898246773592,509.0,"thôn 6, tt ch? prong, ch? prong",
1469278379854782189,Vietnam,??k Nông,Tuy Duc,Nestlé Vietnam - Receiving Station Dak Nong,12.055322,107.545059,728.0,Thôn ??k RT?ng,Qu?ng Tân
1469883818362504707,Vietnam,??k Nông,Dak Rlap,Nestlé Vietnam - Receiving Station Dak Nong,12.026021,107.561325,720.0,Thôn 15,
1469278379855004763,Vietnam,Gia Lai,Chu Prong,Nestlé Vietnam - Receiving Station Gia Lai,13.83033187675638,107.93977844150923,664.0,"Thôn Ia Mua, xã Bàu C?n, Ch? Prông",
1469278379854782176,Vietnam,??k Nông,Tuy Duc,Nestlé Vietnam - Receiving Station Dak Nong,12.07273437673645,107.5411527869894,733.0,Thôn ??k Mrang,Qu?ng Tân
1469278379855013194,Vietnam,Gia Lai,Chu Pah,Nestlé Vietnam - Receiving Station Gia Lai,14.10145028495612,107.87867548885558,660.0,"Thôn Ia Sip, Ia Nhin, Ch? P?h",
1469278379854783010,Vietnam,??k Nông,Tuy Duc,Nestlé Vietnam - Receiving Station Dak Nong,12.04924980437844,107.53493901168044,708.0,Thôn ??k RT?ng,Qu?ng Tân
1469278379855012739,Vietnam,Gia Lai,Ia Grai,Nestlé Vietnam - Receiving Station Gia Lai,14.02093183716202,107.90453089411174,677.0,"Làng Mái, Ia Hrung, Ia Grai",
1469278379854783130,Vietnam,??k Nông,Dak Rlap,Nestlé Vietnam - Receiving Station Dak Nong,11.96051334546623,107.58631319374403,652.0,Thôn 4,Nhân C?
1469278379855009281,Vietnam,Gia Lai,Chu Prong,Nestlé Vietnam - Receiving Station Gia Lai,13.69589342915489,107.86046566147444,400.0,"Thôn Yên Me, Ia Me, Ch? Prông",
